# blade,v2_Ra20
# notes,"PETG, 0.2mm, Ra 20"
# fan_rpm,500
# wind_mps,10.24
# instrument,"Chroma,63004-150-60,630041501113,2.01"
# protocol,94bed28333f7
# protocol_detail,scaling=v2;step=0.02000;frac=0.0000;dwell=1.00;voff=0.500;range=low;floor=0.00000;operate=80.0;collapse=0.700;confirm=2
fan_rpm,wind_mps,blade,demand_a,held_a,volts,amps,watts,tracking,note,fan_rpm_actual,motor_amps
1500,31.56,v2_Ra20,0.2627,0.2627,7.9199,0.2627,2.0806,1,,1484,10.90
1500,31.56,v2_Ra20,0.2765,0.2765,7.2396,0.2765,2.0017,1,,1484,10.90
1500,31.56,v2_Ra20,0.2904,0.2904,7.0865,0.2904,2.0579,1,,1484,10.90
1500,31.56,v2_Ra20,0.3042,0.3042,6.5282,0.3042,1.9859,1,,1484,10.90
1500,31.56,v2_Ra20,0.3180,0.3180,5.9059,0.3180,1.8781,1,,1484,10.90
1500,31.56,v2_Ra20,0.3318,0.3318,5.5061,0.3318,1.8269,1,,1484,10.90
1500,31.56,v2_Ra20,0.3457,0.3457,4.8881,0.3457,1.6898,1,,1484,10.90
1500,31.56,v2_Ra20,0.3595,0.3595,4.4380,0.3595,1.5955,1,,1484,10.90
1500,31.56,v2_Ra20,0.3733,0.3733,4.1174,0.3733,1.5370,1,,1484,10.90
1600,33.69,v2_Ra20,0.0079,0.0079,20.0943,0.0079,0.1587,1,,1581,11.90
1600,33.69,v2_Ra20,0.0158,0.0158,19.2273,0.0158,0.3038,1,,1581,11.90
1600,33.69,v2_Ra20,0.0315,0.0315,18.8014,0.0315,0.5922,1,,1581,11.90
1600,33.69,v2_Ra20,0.0473,0.0473,17.5678,0.0473,0.8310,1,,1581,11.90
1600,33.69,v2_Ra20,0.0630,0.0630,17.2941,0.0630,1.0895,1,,1581,11.90
1600,33.69,v2_Ra20,0.0788,0.0788,16.6541,0.0788,1.3123,1,,1581,11.90
1600,33.69,v2_Ra20,0.0946,0.0946,15.7010,0.0946,1.4853,1,,1581,11.90
1600,33.69,v2_Ra20,0.1103,0.1103,15.3521,0.1103,1.6933,1,,1581,11.90
1600,33.69,v2_Ra20,0.1261,0.1261,14.6206,0.1261,1.8437,1,,1581,11.90
1600,33.69,v2_Ra20,0.1418,0.1418,14.0492,0.1418,1.9922,1,,1581,11.90
1600,33.69,v2_Ra20,0.1576,0.1576,13.4859,0.1576,2.1254,1,,1581,11.90
1600,33.69,v2_Ra20,0.1733,0.1733,12.6894,0.1733,2.1991,1,,1581,11.90
1600,33.69,v2_Ra20,0.1891,0.1891,12.1455,0.1891,2.2967,1,,1581,11.90
1600,33.69,v2_Ra20,0.2049,0.2049,11.3830,0.2049,2.3324,1,,1581,11.90
1600,33.69,v2_Ra20,0.2206,0.2206,10.9285,0.2206,2.4108,1,,1581,11.90
